Accident year,Region,Ons code,Urban rural,Road class,Light condition,Weather condition,All accidents
2015,North East,E12000001,Urban,A(M),Daylight,Fine no high winds,13
2015,North East,E12000001,Urban,A(M),Darkness - lights lit,Fine no high winds,11
2015,North East,E12000001,Urban,A(M),Darkness - lights lit,Raining + high winds,2
2015,North East,E12000001,Urban,A(M),Darkness - no lighting,Fine no high winds,1
2015,North East,E12000001,Urban,A(M),Darkness - lighting unknown,Fine no high winds,2
2015,North East,E12000001,Urban,A,Daylight,Unknown,2
2015,North East,E12000001,Urban,A,Daylight,Fine no high winds,813
2015,North East,E12000001,Urban,A,Daylight,Raining no high winds,64
2015,North East,E12000001,Urban,A,Daylight,Snowing no high winds,1
2015,North East,E12000001,Urban,A,Daylight,Fine + high winds,22
2015,North East,E12000001,Urban,A,Daylight,Raining + high winds,8
2015,North East,E12000001,Urban,A,Daylight,Snowing + high winds,1
2015,North East,E12000001,Urban,A,Daylight,Fog or mist,1
2015,North East,E12000001,Urban,A,Daylight,Other,5
2015,North East,E12000001,Urban,A,Darkness - lights lit,Unknown,2
2015,North East,E12000001,Urban,A,Darkness - lights lit,Fine no high winds,185
2015,North East,E12000001,Urban,A,Darkness - lights lit,Raining no high winds,38
2015,North East,E12000001,Urban,A,Darkness - lights lit,Snowing no high winds,1
2015,North East,E12000001,Urban,A,Darkness - lights lit,Fine + high winds,13
2015,North East,E12000001,Urban,A,Darkness - lights lit,Raining + high winds,10
2015,North East,E12000001,Urban,A,Darkness - lights lit,Fog or mist,4
2015,North East,E12000001,Urban,A,Darkness - lights lit,Other,4
2015,North East,E12000001,Urban,A,Darkness - lights unlit,Fine no high winds,6
2015,North East,E12000001,Urban,A,Darkness - lights unlit,Snowing no high winds,1
2015,North East,E12000001,Urban,A,Darkness - no lighting,Fine no high winds,9
2015,North East,E12000001,Urban,A,Darkness - no lighting,Raining no high winds,1
2015,North East,E12000001,Urban,A,Darkness - no lighting,Fine + high winds,1
2015,North East,E12000001,Urban,A,Darkness - lighting unknown,Unknown,2
2015,North East,E12000001,Urban,A,Darkness - lighting unknown,Fine no high winds,2
2015,North East,E12000001,Urban,A,Darkness - lighting unknown,Raining no high winds,2
2015,North East,E12000001,Urban,A,Darkness - lighting unknown,Raining + high winds,1
2015,North East,E12000001,Urban,A,Darkness - lighting unknown,Fog or mist,1
2015,North East,E12000001,Urban,B,Daylight,Unknown,1
2015,North East,E12000001,Urban,B,Daylight,Fine no high winds,321
2015,North East,E12000001,Urban,B,Daylight,Raining no high winds,32
2015,North East,E12000001,Urban,B,Daylight,Fine + high winds,4
2015,North East,E12000001,Urban,B,Daylight,Raining + high winds,2
2015,North East,E12000001,Urban,B,Daylight,Fog or mist,2
2015,North East,E12000001,Urban,B,Daylight,Other,1
2015,North East,E12000001,Urban,B,Darkness - lights lit,Unknown,1
2015,North East,E12000001,Urban,B,Darkness - lights lit,Fine no high winds,94
2015,North East,E12000001,Urban,B,Darkness - lights lit,Raining no high winds,20
2015,North East,E12000001,Urban,B,Darkness - lights lit,Snowing no high winds,3
2015,North East,E12000001,Urban,B,Darkness - lights lit,Fine + high winds,9
2015,North East,E12000001,Urban,B,Darkness - lights lit,Raining + high winds,2
2015,North East,E12000001,Urban,B,Darkness - lights lit,Fog or mist,1
2015,North East,E12000001,Urban,B,Darkness - lights lit,Other,4
2015,North East,E12000001,Urban,B,Darkness - lights unlit,Fine no high winds,2
2015,North East,E12000001,Urban,B,Darkness - no lighting,Fine no high winds,2
2015,North East,E12000001,Urban,B,Darkness - lighting unknown,Raining no high winds,1
2015,North East,E12000001,Urban,B,Darkness - lighting unknown,Raining + high winds,1
2015,North East,E12000001,Urban,C,Daylight,Fine no high winds,369
2015,North East,E12000001,Urban,C,Daylight,Raining no high winds,41
2015,North East,E12000001,Urban,C,Daylight,Snowing no high winds,4
2015,North East,E12000001,Urban,C,Daylight,Fine + high winds,8
2015,North East,E12000001,Urban,C,Daylight,Other,2
2015,North East,E12000001,Urban,C,Darkness - lights lit,Unknown,1
2015,North East,E12000001,Urban,C,Darkness - lights lit,Fine no high winds,83
2015,North East,E12000001,Urban,C,Darkness - lights lit,Raining no high winds,24
2015,North East,E12000001,Urban,C,Darkness - lights lit,Snowing no high winds,2
2015,North East,E12000001,Urban,C,Darkness - lights lit,Fine + high winds,4
2015,North East,E12000001,Urban,C,Darkness - lights lit,Raining + high winds,5
2015,North East,E12000001,Urban,C,Darkness - lights lit,Fog or mist,1
2015,North East,E12000001,Urban,C,Darkness - lights lit,Other,1
2015,North East,E12000001,Urban,C,Darkness - lights unlit,Fine no high winds,5
2015,North East,E12000001,Urban,C,Darkness - lights unlit,Raining no high winds,1
2015,North East,E12000001,Urban,C,Darkness - lighting unknown,Other,1
2015,North East,E12000001,Urban,Unclassified,Daylight,Unknown,5
2015,North East,E12000001,Urban,Unclassified,Daylight,Fine no high winds,731
2015,North East,E12000001,Urban,Unclassified,Daylight,Raining no high winds,57
2015,North East,E12000001,Urban,Unclassified,Daylight,Snowing no high winds,3
2015,North East,E12000001,Urban,Unclassified,Daylight,Fine + high winds,17
2015,North East,E12000001,Urban,Unclassified,Daylight,Raining + high winds,2
